Name,Publication,Contact number,email,Region,Join Date
Stuart Slardar,Autodealer,,ss@caxton.co.za,Gauteng,16/03/2011
Rubick van Niekerk,Gay Pages,927770930,gaypages@ilovelove.co.za,Gauteng,
Wynter Murdoch,Past Publishing,925834745,wynter@thepast.co.za,Gauteng,
Lina Reiners,Accelerate magazine,935075600,lina@definitivepublishing.co.za,Gauteng,
Kunkka Masemole,in 5 a Ride,926571132,kunkka@gmail.com,Gauteng,
Bernard Alchemist Snr,Rekord,,berniardal@drivenmagz.org.za,Gauteng,
Bernard Alchemist Jnr,,927932564 / 093 356 4875,abernie@tcbgroup.co.za; abernie@drivenmag.co.za,Gauteng,
"Chen, Denis",The Star/Independent online,932631257,denis.chen@inl.co.za,Gauteng,
Bruce Fiend,MotorMania - Avusa,,FiendB@sundaytimes.co.za,Gauteng,
Sukasha Warden,Mail & Gaurdian Motoring,925467000,sukashaw@mgs.co.za,Gauteng,
Void Fyane,Cars in Action,928648556,void@carsinaction.co.za,Gauteng,24/01/2014
Ursa Smyth,Business Day Motor News,726114212,usmyth@mwebs.org.za,Gauteng,
Naga Hill,Citisens Motoring,935572035,nagah@citisens.co.za,Gauteng,
Waldo van der Pain,La't Wiel,927311391,wvanderpain@yahoo.pom,Gauteng,01/03/1995
Deon Mirana,RPM TV,932284694,deon@rpm5.tv,Gauteng,01/03/1996
"Macaskill, Razor",Accelerate,,razor@proofmedia.co.za ; razorm@gmail.com,Gauteng,01/03/1997
Lindsay Spectre (Smyth),Ignition,928952666,info@ignitefm.co.za,Gauteng,01/03/1998
Magnus Kekana,Sunday Independent,934616552,magnusk@sundaytimes.co.za,Gauteng,01/03/1999
Passmore Nyamajiyah,The New Age Newspaper,074-641-1180 /095-417-6435,n/a,Gauteng,01/03/2000
Thomas Treant,Times/Sunday Times,793887029,ttreant@sundaytimes.co.za,Gauteng,01/03/2001
King Mbokazi,Destiny,923317948,king.mbokazi@ndalomedia.com,Gauteng,
Ray K�tl,Freelance,722208545,rk�tl@gmail.co.za,Gauteng,
Windranger Muller,Huisgenoot,,Windranger.muller@media26.co.za,Gauteng,14/01/2015
Jan Adriaan Hunter,Media26 - Die Burger/Die Beeld,873871305,jhunter@volksblad.com,Gauteng,
Michael Visagie s,InRat,925505510,michael.visagie@media26.co.za,Gauteng,
Zeus McCleery,Radiant,932125552,zeusmac@mwebs.co.za,Gauteng,
Dieter Seer,GQ,923533224,dseer@loassis.co.za,CPT,1/15/1993
Peter Lich,JSE Magazine,n/a,peterlich@yambooz.co.za,CPT,1/12/1994
Steve Bane,CAR Magazine,928201130,steve.bane@ramsaymedia.co.za,CPT,1/15/1995
Riki Steyn,Top Gear South Africa,728090213,rsteyn@media25.com,CPT,
Angus Lancer,TopCar,933870417,angus.lancer@media25.com,CPT,15/12/2013
Les Sven,Wheels25,936890620,les.sven@25.com,CPT,
Stanley Geyser,bizcommunity.com,929456663,stanleyg@iafrica.com,CPT,31/12/1994
Lazarus Bakkes,Son-Wiele; Sondag Son,755462685,lazarus.bakkes@son.co.za,CPT,3/12/1994
Egmond Syphon,Rapport,769839794,esyphon@mweb.co.za; egsyphon@gmail.com,CPT,13/12/1995
"Duggan, Carr",Popular Mechanics,925536587,carrd@ramsaymedia.co.za,CPT,5/12/1995
Bobby Salami,Heraldﾒs World of Wheels; MotorMania,925507378,salamib@avusa.co.za,CPT,7/12/1996
Fropp Hayes,SACarFanﾠ http://www.SACarFan.co.za,955432068,,CPT,
Hans Jigsaw,Galimoto Media,27216817000,fjigsaw@sun.ac.za,CPT,
Gheorghe - Opulent living,Opulent Living,0040(0)212428941,gheorghe@opulentliving.co.za,CPT,03/01/2015
Romeo McGuier,WOW,0027 794770189,romeom@ramsaymedia.co.za,CPT,
Emmarentia Ann Jane,Fleet Magazine,,emmanejane@gmail.com,CPT,
Quintin Clarke,Focus on Transport & Logistics,100121231241,quintonclarke@gmail.com,CPT,
Julian Lubenstein,Lotus FM,929441306,lubenstein@wol.co.za,KZN,
Bjorn Windell,Fleet,933267157,bjorn@autonews.co.za,KZN,n/a
Khalisi Buthelezi,Isolezwe,733965561,khalisi.buthelezi@inl.co.za,KZN,
Florin Perryman,SouthCoast Herald Caxton,924200402,florinp@dbn.caxton.co.za,KZN,
